name,html_name,weapon,skin,condition,weapon_type,quality,category,name_color,sell_listings,sell_price,sell_price_text
CZ75-Auto | Tigris (Well-Worn),CZ75-Auto%20%7C%20Tigris%20%28Well-Worn%29,CZ75-Auto,Tigris,Well-Worn,Pistol,Restricted,Normal,D2D2D2,368,32,$0.32 
CZ75-Auto | Tread Plate (Factory New),CZ75-Auto%20%7C%20Tread%20Plate%20%28Factory%20New%29,CZ75-Auto,Tread Plate,Factory New,Pistol,Restricted,Normal,D2D2D2,118,717,$7.17 
CZ75-Auto | Tread Plate (Field-Tested),CZ75-Auto%20%7C%20Tread%20Plate%20%28Field-Tested%29,CZ75-Auto,Tread Plate,Field-Tested,Pistol,Restricted,Normal,D2D2D2,25,565,$5.65 
CZ75-Auto | Tread Plate (Minimal Wear),CZ75-Auto%20%7C%20Tread%20Plate%20%28Minimal%20Wear%29,CZ75-Auto,Tread Plate,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,69,600,$6.00 
CZ75-Auto | Tuxedo (Battle-Scarred),CZ75-Auto%20%7C%20Tuxedo%20%28Battle-Scarred%29,CZ75-Auto,Tuxedo,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,441,72,$0.72 
CZ75-Auto | Tuxedo (Factory New),CZ75-Auto%20%7C%20Tuxedo%20%28Factory%20New%29,CZ75-Auto,Tuxedo,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,270,181,$1.81 
CZ75-Auto | Tuxedo (Field-Tested),CZ75-Auto%20%7C%20Tuxedo%20%28Field-Tested%29,CZ75-Auto,Tuxedo,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,1327,94,$0.94 
CZ75-Auto | Tuxedo (Minimal Wear),CZ75-Auto%20%7C%20Tuxedo%20%28Minimal%20Wear%29,CZ75-Auto,Tuxedo,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,796,121,$1.21 
CZ75-Auto | Tuxedo (Well-Worn),CZ75-Auto%20%7C%20Tuxedo%20%28Well-Worn%29,CZ75-Auto,Tuxedo,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,78,86,$0.86 
CZ75-Auto | Twist (Battle-Scarred),CZ75-Auto%20%7C%20Twist%20%28Battle-Scarred%29,CZ75-Auto,Twist,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,151,70,$0.70 
