name,date,price,volume
CZ75-Auto | Army Sheen (Factory New),2/5/2016 1:00,0.632,98
CZ75-Auto | Army Sheen (Factory New),2/6/2016 1:00,0.626,153
CZ75-Auto | Army Sheen (Factory New),2/7/2016 1:00,0.551,109
CZ75-Auto | Army Sheen (Factory New),2/8/2016 1:00,0.454,83
CZ75-Auto | Army Sheen (Factory New),2/9/2016 1:00,0.471,87
CZ75-Auto | Army Sheen (Factory New),2/10/2016 1:00,0.576,128
CZ75-Auto | Army Sheen (Factory New),2/11/2016 1:00,0.515,99
CZ75-Auto | Army Sheen (Factory New),2/12/2016 1:00,0.485,86
CZ75-Auto | Army Sheen (Factory New),2/13/2016 1:00,0.563,90
CZ75-Auto | Army Sheen (Factory New),2/14/2016 1:00,0.564,82
CZ75-Auto | Army Sheen (Factory New),2/15/2016 1:00,0.663,88
CZ75-Auto | Army Sheen (Factory New),2/16/2016 1:00,0.706,65
CZ75-Auto | Army Sheen (Factory New),2/17/2016 1:00,0.682,70
CZ75-Auto | Army Sheen (Factory New),2/18/2016 1:00,0.32,697
CZ75-Auto | Army Sheen (Factory New),2/19/2016 1:00,0.274,825
CZ75-Auto | Army Sheen (Factory New),2/20/2016 1:00,0.359,678
CZ75-Auto | Army Sheen (Factory New),2/21/2016 1:00,0.342,557
CZ75-Auto | Army Sheen (Factory New),2/22/2016 1:00,0.375,334
CZ75-Auto | Army Sheen (Factory New),2/23/2016 1:00,0.346,264
CZ75-Auto | Army Sheen (Factory New),2/24/2016 1:00,0.267,1507
CZ75-Auto | Army Sheen (Factory New),2/25/2016 1:00,0.246,1119
CZ75-Auto | Army Sheen (Factory New),2/26/2016 1:00,0.255,1080
CZ75-Auto | Army Sheen (Factory New),2/27/2016 1:00,0.261,1142
CZ75-Auto | Army Sheen (Factory New),2/28/2016 1:00,0.292,636
CZ75-Auto | Army Sheen (Factory New),2/29/2016 1:00,0.327,679
CZ75-Auto | Army Sheen (Factory New),3/1/2016 1:00,0.35,536
CZ75-Auto | Army Sheen (Factory New),3/2/2016 1:00,0.293,1413
CZ75-Auto | Army Sheen (Factory New),3/3/2016 1:00,0.241,1064
CZ75-Auto | Army Sheen (Factory New),3/4/2016 1:00,0.25,1157
CZ75-Auto | Army Sheen (Factory New),3/5/2016 1:00,0.278,1206
CZ75-Auto | Army Sheen (Factory New),3/6/2016 1:00,0.264,964
CZ75-Auto | Army Sheen (Factory New),3/7/2016 1:00,0.277,737
CZ75-Auto | Army Sheen (Factory New),3/8/2016 1:00,0.301,634
CZ75-Auto | Army Sheen (Factory New),3/9/2016 1:00,0.271,1286
CZ75-Auto | Army Sheen (Factory New),3/10/2016 1:00,0.25,904
CZ75-Auto | Army Sheen (Factory New),3/11/2016 1:00,0.253,798
CZ75-Auto | Army Sheen (Factory New),3/12/2016 1:00,0.27,793
CZ75-Auto | Army Sheen (Factory New),3/13/2016 1:00,0.266,719
CZ75-Auto | Army Sheen (Factory New),3/14/2016 1:00,0.264,534
CZ75-Auto | Army Sheen (Factory New),3/15/2016 1:00,0.271,546
CZ75-Auto | Army Sheen (Factory New),3/16/2016 1:00,0.256,1126
CZ75-Auto | Army Sheen (Factory New),3/17/2016 1:00,0.255,1056
CZ75-Auto | Army Sheen (Factory New),3/18/2016 1:00,0.239,1040
CZ75-Auto | Army Sheen (Factory New),3/19/2016 1:00,0.238,910
CZ75-Auto | Army Sheen (Factory New),3/20/2016 1:00,0.231,698
CZ75-Auto | Army Sheen (Factory New),3/21/2016 1:00,0.247,607
CZ75-Auto | Army Sheen (Factory New),3/22/2016 1:00,0.238,596
