success,price_prefix,price_suffix,name,date,price,volume
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 06 2015 01: +0,0.39,379
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 07 2015 01: +0,0.402,455
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 08 2015 01: +0,0.422,365
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 09 2015 01: +0,0.409,339
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 10 2015 01: +0,0.417,264
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 11 2015 01: +0,0.398,251
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 12 2015 01: +0,0.405,231
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 13 2015 01: +0,0.412,287
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 14 2015 01: +0,0.434,321
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 15 2015 01: +0,0.431,270
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 16 2015 01: +0,0.386,243
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 17 2015 01: +0,0.386,249
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 18 2015 01: +0,0.423,210
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 19 2015 01: +0,0.404,244
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 20 2015 01: +0,0.412,253
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 21 2015 01: +0,0.453,337
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 22 2015 01: +0,0.402,212
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 23 2015 01: +0,0.397,168
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 24 2015 01: +0,0.39,279
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 25 2015 01: +0,0.394,213
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 26 2015 01: +0,0.339,246
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 27 2015 01: +0,0.345,343
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 28 2015 01: +0,0.369,303
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 29 2015 01: +0,0.355,365
True,$,,CZ75-Auto | Army Sheen (Factory New),Nov 30 2015 01: +0,0.335,237
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 01 2015 01: +0,0.359,340
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 02 2015 01: +0,0.431,195
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 03 2015 01: +0,0.493,172
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 04 2015 01: +0,0.541,188
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 05 2015 01: +0,0.558,243
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 06 2015 01: +0,0.557,188
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 07 2015 01: +0,0.501,193
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 08 2015 01: +0,0.49,225
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 09 2015 01: +0,0.471,200
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 10 2015 01: +0,0.45,155
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 11 2015 01: +0,0.497,173
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 12 2015 01: +0,0.539,224
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 13 2015 01: +0,0.51,155
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 14 2015 01: +0,0.474,139
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 15 2015 01: +0,0.455,101
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 16 2015 01: +0,0.465,150
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 17 2015 01: +0,0.494,110
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 18 2015 01: +0,0.485,147
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 19 2015 01: +0,0.461,133
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 20 2015 01: +0,0.493,173
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 21 2015 01: +0,0.475,122
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 22 2015 01: +0,0.43,152
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 23 2015 01: +0,0.39,266
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 24 2015 01: +0,0.409,158
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 25 2015 01: +0,0.415,229
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 26 2015 01: +0,0.452,226
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 27 2015 01: +0,0.511,199
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 28 2015 01: +0,0.519,199
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 29 2015 01: +0,0.537,215
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 30 2015 01: +0,0.532,167
True,$,,CZ75-Auto | Army Sheen (Factory New),Dec 31 2015 01: +0,0.531,177
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 01 2016 01: +0,0.548,132
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 02 2016 01: +0,0.506,254
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 03 2016 01: +0,0.504,154
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 04 2016 01: +0,0.445,166
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 05 2016 01: +0,0.469,119
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 06 2016 01: +0,0.497,113
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 07 2016 01: +0,0.525,87
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 08 2016 01: +0,0.527,112
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 09 2016 01: +0,0.591,121
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 10 2016 01: +0,0.522,139
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 11 2016 01: +0,0.659,125
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 12 2016 01: +0,0.588,88
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 13 2016 01: +0,0.604,133
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 14 2016 01: +0,0.62,123
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 15 2016 01: +0,0.605,121
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 16 2016 01: +0,0.663,117
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 17 2016 01: +0,0.636,106
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 18 2016 01: +0,0.631,84
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 19 2016 01: +0,0.64,112
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 20 2016 01: +0,0.624,52
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 21 2016 01: +0,0.602,94
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 22 2016 01: +0,0.577,70
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 23 2016 01: +0,0.58,130
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 24 2016 01: +0,0.576,121
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 25 2016 01: +0,0.592,164
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 26 2016 01: +0,0.59,91
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 27 2016 01: +0,0.605,104
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 28 2016 01: +0,0.906,114
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 29 2016 01: +0,0.61,122
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 30 2016 01: +0,0.596,106
True,$,,CZ75-Auto | Army Sheen (Factory New),Jan 31 2016 01: +0,0.633,112
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 01 2016 01: +0,0.589,90
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 02 2016 01: +0,0.698,98
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 03 2016 01: +0,0.677,64
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 04 2016 01: +0,0.647,76
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 05 2016 01: +0,0.632,98
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 06 2016 01: +0,0.626,153
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 07 2016 01: +0,0.551,109
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 08 2016 01: +0,0.454,83
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 09 2016 01: +0,0.471,87
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 10 2016 01: +0,0.576,128
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 11 2016 01: +0,0.515,99
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 12 2016 01: +0,0.485,86
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 13 2016 01: +0,0.563,90
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 14 2016 01: +0,0.564,82
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 15 2016 01: +0,0.663,88
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 16 2016 01: +0,0.706,65
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 17 2016 01: +0,0.682,70
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 18 2016 01: +0,0.32,697
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 19 2016 01: +0,0.274,825
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 20 2016 01: +0,0.359,678
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 21 2016 01: +0,0.342,557
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 22 2016 01: +0,0.375,334
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 23 2016 01: +0,0.346,264
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 24 2016 01: +0,0.267,1507
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 25 2016 01: +0,0.246,1119
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 26 2016 01: +0,0.255,1080
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 27 2016 01: +0,0.261,1142
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 28 2016 01: +0,0.292,636
True,$,,CZ75-Auto | Army Sheen (Factory New),Feb 29 2016 01: +0,0.327,679
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 01 2016 01: +0,0.35,536
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 02 2016 01: +0,0.293,1413
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 03 2016 01: +0,0.241,1064
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 04 2016 01: +0,0.25,1157
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 05 2016 01: +0,0.278,1206
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 06 2016 01: +0,0.264,964
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 07 2016 01: +0,0.277,737
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 08 2016 01: +0,0.301,634
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 09 2016 01: +0,0.271,1286
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 10 2016 01: +0,0.25,904
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 11 2016 01: +0,0.253,798
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 12 2016 01: +0,0.27,793
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 13 2016 01: +0,0.266,719
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 14 2016 01: +0,0.264,534
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 15 2016 01: +0,0.271,546
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 16 2016 01: +0,0.256,1126
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 17 2016 01: +0,0.255,1056
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 18 2016 01: +0,0.239,1040
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 19 2016 01: +0,0.238,910
True,$,,CZ75-Auto | Army Sheen (Factory New),Mar 20 2016 01: +0,0.231,698
